"No.","Time","Source","Destination","Protocol","Length","Info"
"1","01:05:49.468757","172.16.1.4","172.16.1.255","BROWSER","243","Host Announcement CARLFORCE-DC1, Workstation, Server, Domain Controller, Time Source, NT Workstation, DFS server"
"2","01:05:50.279222","172.16.1.4","172.16.1.255","BROWSER","243","Host Announcement CARLFORCE-DC1, Workstation, Server, Domain Controller, Time Source, NT Workstation, DFS server"
"3","01:06:10.328524","172.16.1.201","224.0.0.252","LLMNR","66","Standard query 0x229b A isatap"
"4","01:06:10.390913","172.16.1.201","172.16.1.4","DNS","76","Standard query 0x6ef6 A www.msftncsi.com"
"5","01:06:10.391325","172.16.1.201","172.16.1.4","DNS","76","Standard query 0x6ef6 A www.msftncsi.com"
"6","01:06:10.430028","172.16.1.201","172.16.1.255","NBNS","92","Name query NB CARLFORCE<1c>"
"7","01:06:10.430142","172.16.1.4","172.16.1.201","NBNS","104","Name query response NB 172.16.1.4"
"8","01:06:10.430821","172.16.1.201","172.16.1.255","SMB_NETLOGON","281","SAM LOGON request from client"
"9","01:06:10.430822","172.16.1.201","172.16.1.4","SMB_NETLOGON","281","SAM LOGON request from client"
"10","01:06:10.431132","172.16.1.4","172.16.1.255","NBNS","92","Name query NB NEWARK-1A<00>"
"11","01:06:10.431463","172.16.1.201","172.16.1.4","NBNS","104","Name query response NB 172.16.1.201"
"12","01:06:10.431509","172.16.1.4","172.16.1.201","SMB_NETLOGON","352","SAM Active Directory Response - user unknown"
"13","01:06:10.437430","172.16.1.201","224.0.0.252","LLMNR","66","Standard query 0x229b A isatap"
"14","01:06:10.437431","172.16.1.201","172.16.1.255","NBNS","92","Name query NB CARLFORCE<1c>"
"15","01:06:10.437557","172.16.1.4","172.16.1.201","NBNS","104","Name query response NB 172.16.1.4"
"16","01:06:10.438229","172.16.1.201","172.16.1.255","SMB_NETLOGON","281","SAM LOGON request from client"
"17","01:06:10.438230","172.16.1.201","172.16.1.4","SMB_NETLOGON","281","SAM LOGON request from client"
"18","01:06:10.438405","172.16.1.4","172.16.1.201","SMB_NETLOGON","352","SAM Active Directory Response - user unknown"
"19","01:06:10.498016","172.16.1.4","172.16.1.201","DNS","182","Standard query response 0x6ef6 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 173.223.52.18 A 173.223.52.17"
"20","01:06:10.531430","172.16.1.201","172.16.1.4","DNS","87","Standard query 0x7373 A CARLFORCE-DC1.carlforce.com"
"21","01:06:10.531557","172.16.1.4","172.16.1.201","DNS","103","Standard query response 0x7373 A CARLFORCE-DC1.carlforce.com A 172.16.1.4"
"22","01:06:10.533451","172.16.1.201","172.16.1.4","TCP","66","49158  >  389 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23","01:06:10.533510","172.16.1.4","172.16.1.201","TCP","66","389  >  49158 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"24","01:06:10.533849","172.16.1.201","172.16.1.4","TCP","60","49158  >  389 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"25","01:06:10.546972","172.16.1.201","172.16.1.4","DNS","87","Standard query 0x2f1e A CARLFORCE-DC1.carlforce.com"
"26","01:06:10.547091","172.16.1.4","172.16.1.201","DNS","103","Standard query response 0x2f1e A CARLFORCE-DC1.carlforce.com A 172.16.1.4"
"27","01:06:10.596069","172.16.1.201","172.16.1.4","LDAP","404","searchRequest(1) ""<ROOT>"" baseObject "
"28","01:06:10.596323","172.16.1.4","172.16.1.201","LDAP","2373","searchResEntry(1) ""<ROOT>""  | searchResDone(1) success  [4 results]"
"29","01:06:10.597149","172.16.1.201","172.16.1.4","TCP","60","49158  >  389 [ACK] Seq=351 Ack=2320 Win=65536 Len=0"
"30","01:06:10.597150","172.16.1.201","172.16.1.4","DNS","87","Standard query 0xf166 A CARLFORCE-DC1.carlforce.com"
"31","01:06:10.597263","172.16.1.4","172.16.1.201","DNS","103","Standard query response 0xf166 A CARLFORCE-DC1.carlforce.com A 172.16.1.4"
"32","01:06:10.599041","172.16.1.201","172.16.1.4","TCP","66","49159  >  88 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"33","01:06:10.599042","172.16.1.201","172.16.1.4","TCP","66","49160  >  135 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
